country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,181,112,70,36,215,106,27,55,159,226,275,299,391,414,542,831,1290,1100,838,883
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,23,47,24,17,46,17,8,19,18,16,11,12,20,13,89,126,63,56,82,72
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,5,5,5,5,0,6,0,0,0,0,5,10,15,5,21,35,37,17
Dominican Republic,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,124,145,123,146,77,123,131,267,401,386,347,355,840,1140,1710,2350,3160,3410,4040,4210
Algeria,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2320,2750,2370,1910,1340,1380,1530,1340,1520,1540,1710,2180,2460,4290,5130,7620,7180,6430,7450,7740,7770
Ecuador,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,435,834,689,492,274,264,278,244,279,201,254,519,2340,6970,10.4k,13.7k,17.3k,17.7k,19.3k,22.1k
Egypt,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,1440,1830,2020,2240,2330,1680,1610,1800,1630,1570,2610,4120,9480,10.8k,12.1k,13k,14.6k,16.8k,16.7k,16.1k
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560,2850,25.8k,2830,2810,4020,5020,12.2k,14.6k,14.4k,13.6k,14.6k,20.5k,28.9k,53.6k,62.1k,67.7k,78.3k,78.6k,75.1k,72.9k
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,25,40,28,20,14,11,17,51,70,85,81,68,68,85,120,197,238,276,286
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,74,98,157,177,143,132,123,55,33,34,15,34,28,22,31,39,42,42,37,55,43
Ethiopia,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6k,12.3k,8960,10.8k,13.1k,16.2k,16.7k,29.5k,31.5k,48.7k,48.9k,38.8k,41.9k,49.3k,61.4k,76.7k,78.9k,134k,133k,137k,125k
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,5,6,5,0,0,5,10,5,10,0
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1660,1920,1500,1020,520,370,253,193,200,360,298,256,269,463,769,429,510,678,1300,2340,2680
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,59,73,66,55,54,35,48,55,69,33,51,38,42,40,77,116,140,219,268,174
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,0,0,0,0,0,0,0,0,0,0,6,0,,,,
Gabon,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,45,52,34,26,55,40,21,23,33,37,35,56,104,116,224,431,696,739,894,1120
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,77,74,64,46,57,43,36,24,44,43,40,45,66,77,109,100,158,184,227,197
Ghana,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989,1100,1150,1660,1650,2330,1130,1640,2000,1320,2000,2490,3470,4980,7620,10.7k,11.8k,17.5k,12.5k,10.6k,10.1k
