country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
France,290k,280k,270k,263k,345k,363k,389k,381k,387k,246k,253k,260k,174k,176k,178k,179k,177k,177k,175k,159k,142k,98.9k,102k,106k,110k,115k,119k,126k,119k,122k,126k,152k,164k,170k,174k,180k,179k,184k,180k,193k,175k,157k,166k,195k,155k,151k,147k,140k,130k,133k,132k,132k,131k,140k,137k,146k,152k,171k,196k,201k,210k,218k,232k,252k,273k,305k,337k,368k,408k,436k
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,,,
Gabon,,,,,,,,,,,,,,,,,,,4500,0,0,0,0,0,60k,60k,90k,60.2k,30.2k,20k,400,640,0,0,0,100,0,0,0,417,220,272,0,597,790,797,864,1130,15.1k,18k,15.6k,13.5k,14k,13.8k,8540,8420,8820,9000,8840,9010,1770,1660,1590,1010,934,926,845,686,454,482
United Kingdom,208k,200k,192k,182k,175k,182k,179k,175k,170k,167k,164k,160k,157k,160k,170k,167k,164k,161k,162k,162k,150k,150k,150k,156k,153k,153k,148k,150k,146k,148k,146k,143k,140k,135k,135k,100k,100k,39.8k,46k,43.6k,43.4k,64.7k,80.2k,85.2k,90.9k,98.6k,108k,122k,149k,186k,233k,261k,277k,299k,303k,302k,300k,292k,269k,238k,193k,150k,126k,117k,123k,119k,122k,127k,133k,132k
Ghana,,,,,,,,,,,0,0,0,0,0,0,0,0,20k,0,70,0,0,0,130,180,170,70,300,0,0,100,90,90,120,160,150,140,80,8120,8130,12.1k,150k,114k,83.2k,35.6k,22.9k,14.6k,13.3k,12.7k,11.8k,33.5k,43.9k,42k,53.5k,44.9k,35k,18.2k,13.7k,13.8k,13.6k,16k,18.7k,18.4k,17.4k,11.9k,12.2k,11.9k,11.9k,12.4k
Guinea,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325k,548k,478k,577k,553k,672k,664k,435k,482k,502k,427k,178k,182k,184k,139k,63.5k,31.5k,25.2k,21.5k,15.3k,14.1k,16.6k,10.4k,8550,8760,8840,5070,5160,4290,4960,6030
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,240,3630,2180,2210,6600,6920,7280,10.3k,17.2k,12k,8130,12.1k,7460,7340,7330,13.8k,14.9k,14.8k,10.1k,8370,9520,9850,9560,11.6k,7850,7940,8040,4030,4300,4380
Guinea-Bissau,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,3000,4630,12.2k,20.7k,23.9k,15.3k,15.4k,16k,6600,7120,7590,7330,7640,7550,7540,7620,7800,7860,7890,7900,7680,7800,7780,8540,8690,8690,9260,11.2k,4850,1850,1860
Equatorial Guinea,,,,,,,,,,,,,,,,,,40k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,18k,19k,18.5k,19k,17.4k,16k,16k,15.7k,15.5k,15.5k,15.2k,15.7k,15.4k,16k,15.6k,15.3k,12.3k,8260,6330,5710,5780,3350,2940,2710,2600,2560,2610,2520,3770,3750,3990,3950,4090,4320,4360,3280,4630,8260,7490,8490,8990,8460,7860,7770,4430,5780,5520,6150,6280,6650,6930,2780,2760,2480,2390,2290,2230,2170,1700,1440,1570,2090,3470,10.3k,24.8k,46.4k,39k,61.4k,80.5k,103k
